id,type,title,url,date,word_count,h1_count,h2_count,h3_count,title_topic,body_topic,boilerplate_hits,featured_media,issues,notes,duplicate_group,cannibal_group,h2_skeleton
3618,faqs,الأسئلة الشائعة,https://max-art-ae.com/faqs/faq/,2026-08-08,56,0,3,0,,عزل أسطح,0,0,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | مقتطف ناقص | صورة بارزة مفقودة,عدد الكلمات 56 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ مقتطف فارغ أو قصير؛ لا توجد صورة بارزة,,,هل المعاينة مجانية؟ | هل يتوفر ضمان؟ | كم يستغرق التنفيذ؟
3,page,سياسة الخصوصية,https://max-art-ae.com/privacy-policy/,2025-03-14,152,0,5,0,,حدادة,0,0,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | صورة بارزة مفقودة,عدد الكلمات 152 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ لا توجد صورة بارزة,,,البيانات التي قد نجمعها | الاستخدام | واتساب والهاتف | ملفات تعريف الارتباط | التواصل
4035,page,تواصل معنا,https://max-art-ae.com/contact-us/,2026-09-16,63,0,2,0,,,0,0,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | صورة بارزة مفقودة,عدد الكلمات 63 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ لا توجد صورة بارزة,,,بيانات التواصل | ساعات العمل
4034,page,من نحن,https://max-art-ae.com/about-us/,2026-09-16,60,0,2,0,,حدادة,0,0,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | صورة بارزة مفقودة,عدد الكلمات 60 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ لا توجد صورة بارزة,,,ماذا نقدم؟ | التغطية
153,page,المدونة,https://max-art-ae.com/blog/,2025-04-02,15,0,0,0,,كشف/إصلاح تسربات,0,3369,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | نقص H2,عدد الكلمات 15 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ عدد H2 = 0,,,
3621,portfolio,سابقة الأعمال,https://max-art-ae.com/portfolio/previous-work/,2026-08-08,28,0,0,0,,عزل أسطح,0,0,محتوى ضعيف (<1000 كلمة) | محتوى ضعيف جداً | لا H1 في جسم المحتوى | نقص H2 | مقتطف ناقص | صورة بارزة مفقودة,عدد الكلمات 28 < 1000؛ محتوى قصير جداً (<300 كلمة)؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ عدد H2 = 0؛ مقتطف فارغ أو قصير؛ لا توجد صورة بارزة,,,
97,post,شركة تركيب ورق الجدران في الشارقة,https://max-art-ae.com/wallpaper-installation-company-in-sharjah/,2026-09-11,3119,0,6,31,ورق جدران,ورق جدران,0,2567,لا H1 في جسم المحتوى,لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب),,,مقدمة | خدمات شركة تركيب ورق الجدران في {LOC} | فوائد تركيب ورق الجدران | عوامل اختيار شركة تركيب ورق الجدران الأفضل | كيفية العناية بورق الجدران والحفاظ عليه | خلاصة
2532,post,شركة تركيب بديل الحجر في الشارقة,https://max-art-ae.com/stone-alternative-installation-in-sharjah/,2026-09-11,2836,0,6,12,,صيانة عامة,1,2569,لا H1 في جسم المحتوى,لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب),,,مقدمة | خدمات شركة ماكس آرت | عوامل تأثير تركيب بديل الحجر | عوامل تأثير تركيب بديل الحجر | كيفية الاختيار الصحيح لشركة تركيب بديل الحجر | خطوات تركيب بديل الحجر مع شركة ماكس آرت
2758,post,شركة كشف تسربات بدون تكسير في مدينة محمد بن زايد,https://max-art-ae.com/shrkh-kshf-tsrbat-bdwn-tksyr-fy-mdynh-mhmd-bn-zayd/,2026-09-11,1473,0,8,14,كشف/إصلاح تسربات,كشف/إصلاح تسربات,13,2585,قالب/نصوص نمطية | لا H1 في جسم المحتوى | صورة بارزة مكررة على نطاق واسع,عبارات نمطية: كتب هذا المقال؛ آخر تحديث؛ مراجعة:؛ فريق ماكس آرت؛ هي خدمة متخصصة تُقدّمها؛ باستخدام أحدث الأجهزة والمعدات؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ نفس الصورة البارزة مستخدمة على 281 عنصراً (ID 2585),,,كل ما تحتاج معرفته عن كشف تسربات بدون تكسير في مدينة محمد بن زايد 2026 | علامات تحتاج فيها كشف تسربات بدون تكسير في مدينة محمد بن زايد فورا | الأسباب الجذرية لمشكلات كشف تسربات بدون تكسير في مدينة محمد بن زايد وكيف يشخصها الخبراء | كيف تتم كشف تسربات بدون تكسير في مدينة محمد بن زايد خطوة بخطوة بأيدي متخصصين | أخطاء شائعة يقع فيها أصحاب المنازل عند طلب كشف تسربات بدون تكسير في مدينة محمد بن زايد | خدمات ماكس آرت + جدول الأسعار التقريبية ل كشف تسربات بدون تكسير في مدينة محمد بن زايد | الأسئلة الشائعة عن كشف تسربات بدون تكسير في مدينة محمد بن زايد — إجابات خبراء ماكس آرت | لماذا ماكس آرت هي الخيار الأول ل كشف تسربات بدون تكسير في مدينة محمد بن زايد؟
2788,post,شركة كشف تسربات بدون تكسير في وسط مدينة دبي,https://max-art-ae.com/shrkh-kshf-tsrbat-bdwn-tksyr-fy-wst-mdynh-dby/,2026-09-11,1459,0,8,14,كشف/إصلاح تسربات,كشف/إصلاح تسربات,15,2585,قالب/نصوص نمطية | لا H1 في جسم المحتوى | صورة بارزة مكررة على نطاق واسع,عبارات نمطية: كتب هذا المقال؛ آخر تحديث؛ مراجعة:؛ فريق ماكس آرت؛ هي خدمة متخصصة تُقدّمها؛ باستخدام أحدث الأجهزة والمعدات؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ نفس الصورة البارزة مستخدمة على 281 عنصراً (ID 2585),,,كل ما تحتاج معرفته عن كشف تسربات بدون تكسير في وسط مدينة {LOC} 2026 | علامات تحتاج فيها كشف تسربات بدون تكسير في وسط مدينة {LOC} فورا | الأسباب الجذرية لمشكلات كشف تسربات بدون تكسير في وسط مدينة {LOC} وكيف يشخصها الخبراء | كيف تتم كشف تسربات بدون تكسير في وسط مدينة {LOC} خطوة بخطوة بأيدي متخصصين | أخطاء شائعة يقع فيها أصحاب المنازل عند طلب كشف تسربات بدون تكسير في وسط مدينة {LOC} | خدمات ماكس آرت + جدول الأسعار التقريبية ل كشف تسربات بدون تكسير في وسط مدينة {LOC} | الأسئلة الشائعة عن كشف تسربات بدون تكسير في وسط مدينة {LOC} — إجابات خبراء ماكس آرت | لماذا ماكس آرت هي الخيار الأول ل كشف تسربات بدون تكسير في وسط مدينة {LOC}؟
2785,post,شركة كشف تسربات بدون تكسير في واحة دبي للسيليكون,https://max-art-ae.com/shrkh-kshf-tsrbat-bdwn-tksyr-fy-wahh-dby-llsylykwn/,2026-09-11,1457,0,8,14,كشف/إصلاح تسربات,كشف/إصلاح تسربات,14,2585,قالب/نصوص نمطية | لا H1 في جسم المحتوى | صورة بارزة مكررة على نطاق واسع,عبارات نمطية: كتب هذا المقال؛ آخر تحديث؛ مراجعة:؛ فريق ماكس آرت؛ هي خدمة متخصصة تُقدّمها؛ باستخدام أحدث الأجهزة والمعدات؛ لا H1 داخل جسم المقالة (ووردبريس عادةً يعرض العنوان كـ H1 من القالب)؛ Schema JSON-LD مضمّن داخل المحتوى؛ نفس الصورة البارزة مستخدمة على 281 عنصراً (ID 2585),,,كل ما تحتاج معرفته عن كشف تسربات بدون تكسير في واحة {LOC} للسيليكون 2026 | علامات تحتاج فيها كشف تسربات بدون تكسير في واحة {LOC} للسيليكون فورا | الأسباب الجذرية لمشكلات كشف تسربات بدون تكسير في واحة {LOC} للسيليكون وكيف يشخصها الخبراء | كيف تتم كشف تسربات بدون تكسير في واحة {LOC} للسيليكون خطوة بخطوة بأيدي متخصصين | أخطاء شائعة يقع فيها أصحاب المنازل عند طلب كشف تسربات بدون تكسير في واحة {LOC} للسيليكون | خدمات ماكس آرت + جدول الأسعار التقريبية ل كشف تسربات بدون تكسير في واحة {LOC} للسيليكون | الأسئلة الشائعة عن كشف تسربات بدون تكسير في واحة {LOC} للسيليكون — إجابات خبراء ماكس آرت | لماذا ماكس آرت هي الخيار الأول ل كشف تسربات بدون تكسير في واحة {LOC} للسيليكون؟
